#  id          lat          lon   alt title /other title/, cat
   0   38.9970240   68.8641590  4146  вер. Пешая, </td></tr>
   0   38.9715920   68.8634680     0  вер. Пирамиды, </td></tr>
   0   38.9889840   68.9203120  4000  вер. Сангальтский Зуб, </td></tr>
   0   38.9882060   68.8381080  3750  вер. Серая, </td></tr>
   0   38.9492810   68.5443450     0  вер. Сиама В., </td></tr>
   0   38.9521620   68.5413320  4337  вер. Сиама Южн., </td></tr>
   0   38.9121057   68.7101053  3753  вер. Средняя, </td></tr>
   0   38.9299900   68.5786550  3792  вер. Студенческая, </td></tr>
   0   38.8704340   68.6050320  3839  вер. Сурх-Кух, </td></tr>
   0   38.7720110   68.6637570  2982  вер. Сурхну, </td></tr>
   0   38.9436950   68.9791280     0  вер. Толикалон, </td></tr>
   0   38.9769267   68.8093259  3640  вер. Туполева, </td></tr>
   0   38.9212303   68.7380273  3780  вер. Улар, </td></tr>
   0   38.9353280   68.5531660  4371  вер. Фестивальная, </td></tr>
   0   38.9320903   68.7341940  3726  вер. Хамсоя Ц., </td></tr>
   0   38.9273261   68.7357581  3812  вер. Хамсоя Ю., </td></tr>
   0   38.9187906   68.5879537  3800  вер. Ханака, </td></tr>
   0   38.9784010   68.8541240  4100  вер. Харьков, </td></tr>
   0   38.9288178   68.7600097  3522  вер. Ходжа Лаизи, </td></tr>
   0   38.9435200   68.5046540  4765  вер. Ходжалокан /Мечта/, 3А</td></tr>
   0   38.9186520   68.7313357  3760  вер. Хырс, </td></tr>
   0   38.9744440   68.9771940     0  вер. Чайка, </td></tr>
   0   38.7676950   68.7392320  2702  вер. Чилокак, </td></tr>
   0   38.9229110   68.6038540  3969  вер. Чор-Дыр, </td></tr>
   0   38.9858470   68.5491690  4638  вер. Шлем, </td></tr>
   0   38.9928616   68.6447069  3982  вер. Юбилейная, </td></tr>
   0   38.9903710   68.8173660  3800  вер. Якум, </td></tr>
   0   38.9766410   68.9819330     0  вер. Ястреб, </td></tr>
