# id   lat         lon           alt   title /other title/, cat
5866   37.5931583   72.1993278  5117  пер. Наташа, 2А
5874   37.5047472   72.1773167  5050  пер. Отпускников, 2А
5875   37.5573861   72.1956333  5100  пер. Сибиряков, 2Б
5876   37.5774806   72.2417917  5050  пер. Простой, 1Б
5878   37.5351768   72.3955339  4399  пер. Дузах /Дузахдара/, н/к
7738   37.6501940   72.0141960  5173  вер. Водж
7739   37.6375320   72.3191420  5111  вер. Варшез
8863   37.6002200   72.2273800  5708  вер. пик Скалистый
8864   37.5856995   72.4181076  5219  вер. Дузахдара
9341   37.5694028   72.2019778  5090  пер. Юрьевский, 2А
9919   37.5318167   72.0130333  4960  пер. Сейсмограф, 1Б*
9920   37.5401000   72.0235000  5280  вер. Ривак, 2А
14343   37.6366667   72.2390000  5370  пер. Рог Тройной, 2Б
14344   37.6308333   72.2603333  4970  пер. Рог-Варшез, 1Б*
14345   37.6068333   72.2726667  4980  пер. Айсберг, 1Б*
14346   37.6090000   72.2265833  5280  пер. Варшез, 2А*
14347   37.5545000   72.1063333  5390  пер. Ребро, 2Б
14348   37.6530000   72.0688333  4513  пер. Цветочный, н/к
14349   37.6533333   72.0590833  4840  вер. Акклиматизационная, 1Б
14350   37.6538333   72.0923333  5110  вер. Нимац
14398   37.5997222   72.2436111  5100  пер. Переметный, 1Б
