# id   lat         lon           alt   title /other title/, cat
 361   42.3268361   78.5445861  3884  пер. Алакель Северный, 1А
 362   42.3202000   78.5557800  3600  пер. Алакель Центральный, 1А
 363   42.3005828   78.5801458  3700  пер. Кирчимтор? /Оптимистов?/, 1Б
 366   42.3202550   78.7304094  3950  пер. Аныртор Южный - 2 /Московский, Аныртор Вост./, 2А
 367   42.2890111   78.7734087  4000  пер. Арашан Сев., 2Б
 368   42.2805250   78.7818680  4000  пер. Арашан Центр. /ЛГУ (Латвийского Государственного Университета)/, 1Б
 369   42.2748955   78.7832109  4000  пер. Арашан Южн., 2А
 384   42.3294000   78.8701833  3800  пер. Джангибайтор /Дангибайтор/, 1Б*
 399   42.2611111   78.5794444  4000  пер. Каменистый /Средний/, 1Б
 411   42.2443667   78.5835500  4100  пер. Кулуарный, 2А*
 416   42.2746500   78.5745000  3800  пер. Ленинградцев, 2А
 421   42.1960278   78.5222222  4030  пер. Онтор /Кокбор/, 1Б
 436   42.2379167   78.5980000  4235  пер. Скальный замок, 1Б
 441   42.2050139   78.5548419  4000  пер. Солнце-Панорамный /Панорамный/, 1Б
 443   42.2915800   78.5819500  4024  пер. Такыртор, 1Б
 446   42.2498319   78.6792583  3940  пер. Теплый, 1А
 448   42.2669589   78.5712878  4013  пер. Троих /Экичат Южн./, 1Б
 449   42.2425056   78.5945417  4243  пер. Труд, 2А
 450   42.3033700   78.8410700  4150  пер. Тургень, 1Б
 451   42.3181206   78.8472315  3800  пер. Тургень Сев., 1Б
 452   42.2338889   78.6025000  4300  пер. Туристов Татарии /Кокбор/, 2А
 453   42.2424922   78.6239188  3900  пер. Улар, 1А
 457   42.3017963   78.5501151  3814  пер. Черные камни, 1Б
 459   42.2840400   78.5727200  3800  пер. Экичат Сев. /Ленинградцев/, 2А
 460   42.2695989   78.5778944  4089  пер. Экичат Центр., 2А
 466   42.2465100   78.5892200  4213  пер. 50 лет Октября, 2Б
 471   42.2958442   78.8472725  4250  пер. БАМ, 2Б
 472   42.2040700   78.5728200  4241  пер. Бригантина, 2Б
 473   42.2434005   78.6782627  4370  пер. Героев Чернобыля /Таштектыр/, 2А*
