# id   lat         lon           alt   title /other title/, cat
1317   39.6528500   71.0977600  3650  пер. Чакуш, 1А
1343   39.5353889   71.2280833  4200  пер. Балконный, 2А
1344   39.5284917   71.3098167  4500  пер. Висячий, 2А
1345   39.4526300   71.1981700  3400  пер. Вынужденный, 1Б
1347   39.4189900   71.0646900  4350  пер. Волкова, 3А
1348   39.4172300   71.0620600  4450  пер. Добровольского, 3А
1349   39.5106606   71.1819939  4350  пер. ИАЭ им. И.Курчатова /Институт атомной энергии имени И.В. Курчатова/, 2А
1350   39.5545306   71.2472000  4360  пер. Иолису Западный /УзСовета по туризму/, 2А
1353   39.4894500   71.0852600  5100  пер. Поликарпова /Иштансалды/, 3А
1355   39.5580300   71.1263400  4250  пер. Кульп, 2А
1357   39.5403439   71.0946581  4510  пер. Кульп ложный /Шудман Северный/, 1Б*
1358   39.4639631   71.1302089  4000  пер. Лириков, 2А*
1359   39.5170169   71.1304339  4120  пер. Лунный, 2А
1361   39.5145300   71.1382700  4030  пер. Лунный Центр. /Тильбе Зап./, 2Б
1362   39.3901100   71.1450600  3950  пер. Минбулак, 1А
1363   39.5107294   71.0972071  4460  пер. Недоступный, 3А
1364   39.5334600   71.0574200  4000  пер. Непролазный, 2А
1365   39.4584450   71.3749761  4280  пер. Олимпийский, 1Б
1366   39.4257600   71.0728000  4600  пер. Пацаева, 3А
1367   39.5612600   71.4091100  4380  пер. Парабола, 2А
1368   39.5724461   71.2431881  4485  пер. Серповидный, 2Б
1370   39.4611111   71.0835167  5100  пер. Тандыкуль, 3Б
1371   39.5156500   71.1719600  4560  пер. Тильбе Ц., 2Б
1374   39.4580500   71.3583889  4050  пер. Тюяджайляу, 1Б
1375   39.5089700   71.2909700  4380  пер. Ураганный, 2А
1376   39.4743600   71.1094300  4135  пер. Физиков, 2Б
1379   39.5375419   71.2696850  4350  пер. Чайнок Сев., 2А
1380   39.5314839   71.2718061  4300  пер. Чайнок Южн., 2А
1381   39.5229009   71.2546042  4300  пер. Чайнок З., 2Б
1382   39.3977778   71.0591111  4000  пер. Чон-Минбулак, 1Б
1383   39.3533100   71.0421900  3970  пер. Чукурак, 1Б
1384   39.3951033   71.2767917  4100  пер. Шаркрама, 1Б
1385   39.5327767   71.0981942  4420  пер. Шудман /ВАМИ, Артоль/, 2Б
1386   39.5692100   71.3901200  4330  пер. Янгидаван /Янгидаван Ц./, 2А*
1387   39.5712800   71.4042700  4300  пер. Янгидаван Вост., 1Б*
1396   39.5923611   71.4601389  4350  пер. Джаманкырчин Зап., 1Б*
1400   39.6314300   71.4827300  4550  пер. Илликсу, 2А
1403   39.3736111   71.4172222  4150  пер. Кзылбель, 2А
1407   39.6082667   71.4988333  4630  пер. Кузнецовой, 2Б*
1408   39.3586111   71.4675000  3620  пер. Кутурган, 1Б
1418   39.6062028   71.4776944  4450  пер. Туристов МИХМа, 3А
2097   39.4047222   71.0177778  3900  пер. Карагушхана /Карагаушхана/, 1Б
8409   39.5665400   71.3387900  4640  пер. ЛИАП /Осыпной/, 2А
8429   39.5502836   71.4025068  4550  пер. Хатынь, 2А*
8486   39.5842639   71.3398944  4560  пер. Узсовета ДСО "Спартак" /Янгидаван Зап./, 2А
9068   39.4741005   71.1127639  4150  пер. Физиков-2, 2Б*
9627   39.5617083   71.3367361  4650  пер. ЛИАП Южный, 2А*
9628   39.5069800   71.1772400  4550  пер. Осыпной, 2А
9629   39.4014639   71.0335389  4100  пер. Донецкий, 1Б
9630   39.4100333   71.0531750  4300  пер. Ленинградцев /Ленинградский/, 3А
9631   39.4141139   71.0304917  4100  пер. Обходной /Охотников/, 2А
9632   39.5291778   71.2203528  4200  пер. Побочный, 2А
12075   39.6032667   71.3539000  4565  пер. Ирина, 1Б
13081   39.6380119   71.4504769  4520  пер. Джилуусу, 2А
13082   39.5805100   71.2545281  4370  пер. Геолога Грязнова, 1Б
13221   39.5991900   71.4917400  4500  пер. Большой ригель, 1Б
13246   39.5752900   71.3664800  4400  пер. Янгидаван-2, 2Б
15863   39.5357000   71.0729131  4290  пер. ЛНИРТИ /Ленинградский научно-исследовательский радиотехнический институт/, 1Б
15884   39.5370350   71.3424683  4315  пер. Обманчивый /ТТС/, 2А
19153   39.5720500   71.3386800  5020  вер. Янгидаван /5046/, 2А
