# id   lat         lon           alt   title /other title/, cat
2993   39.3280700   73.0556900  5700  пер. Горбунова, 2Б
2994   39.3073870   73.0333930  5800  пер. Поронина, 3А
2995   39.3016511   73.0547339  5900  пер. 30 лет ПНР, 3А
2996   39.2799850   73.0990550  5589  пер. Уйсу С. /Уйсу-II/, 2А*
2997   39.2684550   73.1115210  5551  пер. Уйсу Ю. /Уйсу-I/, 2А
2998   39.2283230   73.1651030  5326  пер. Сибирь, 2А*
2999   39.2852980   73.0793040  5846  пер. Владимира Высоцкого, 3А
8694   39.2781200   73.0685534  5704  пер. Боковой, 2A*
8695   39.2721790   73.1243097  5526  пер. Седло, 3А
11585   39.1020700   73.4680190  4021  вер. Арал Сев.
