# id   lat         lon           alt   title /other title/, cat
5556   38.5039292   72.5029362  5600  пер. Полосатый /Ориентировщиков/, 3А
5557   38.4990667   72.5189667  5674  пер. Снежный, 3А
5558   38.5052483   72.5436524  5330  пер. Майи Гантман, 2Б
5559   38.5464200   72.5621500  5273  пер. Шалаева Д., 2Б
5560   38.6284700   72.5462000  4656  пер. Холодный, 1Б
5649   38.4913600   72.5117100  5250  пер. Башурв Вост., 2Б*
5651   38.6015800   72.6788800  5090  пер. Каинды-Джилга, 2А
5652   38.4912780   72.5429626  5000  пер. Каменных химер, 2Б
5653   38.5947167   72.5919083  4600  пер. Соблазнительный, 1Б
5654   38.5330600   72.6470700  5010  пер. Авангард, 2Б
5655   38.5512259   72.6656453  5000  пер. Туманный /Чабатанг/, 2А
5735   38.3487890   72.9426140  4500  пер. Экспедиционный, 1Б
6992   38.4926861   72.5225667  6124  вер. Ховраздара
6993   38.6022389   72.5558694  5947  вер. Холодная Стена
6994   38.6432128   72.5601905  5610  вер. Ледяная Стена /пик Гора Ледяная/
6995   38.6361757   72.9331574  3795  пер. Аильутек, н/к?
6996   38.6023621   72.8452407  5083  вер. Кокчукур
6997   38.5255993   72.9345026  4964  вер. Ходжиджайлов
6998   38.5096140   72.8507940  5180  вер. Дамамат
6999   38.5845644   72.8578321  4730  пер. Ходжиджайлов
7000   38.5336191   72.9386785  4670  пер. Тузбель
7001   38.4442694   72.9213806  4975  вер. Кокуйбель
7002   38.4491417   72.8525861  5521  вер. Карташ
7003   38.4252750   72.7603194  5735  вер. Кудара
7749   38.6466840   72.6233040  5121  вер. Снежная Трапеция
7750   38.5948099   72.6767534  5409  вер. Шукорджилга
8566   38.5093700   72.5195400  6131  вер. пик Шверника /Снежная Красавица/
9206   38.4812097   72.5509082  5100  пер. Д.Межнева, 3А
9207   38.4784707   72.5290989  5100  пер. Башурв Ср., 3А
9208   38.4798939   72.5184643  5400  пер. Башурв Верхн., 3А-3Б
9214   38.5290000   72.5616667  6020  вер. Пасор /Таллин/
9215   38.6356611   72.5879169  4900  пер. Хавраз-Дара
9217   38.5393208   72.6543513  4940  пер. Лев
9222   38.6050004   72.5023721  5560  вер. Шварценгорн
9225   38.5929472   72.5007250  5506  вер. М.Шварценгорн
11536   38.4738670   72.7664780  4934  вер. Раджибек
