# id   lat         lon           alt   title /other title/, cat
8165   56.6429167  114.1027333  1920  пер. Математика, 1Б
8167   56.6479667  114.1097167  2260  вер. пик Финальный, 1Б-2А зимой
8180   56.5290450  114.0461543  1800  пер. СунуРАЗ, н/к зимой
8181   56.5329054  114.0486481  1800  пер. СунуДВА, 1А зимой
8199   56.5906432  114.0037961  1610  пер. Сунуекит, н/к зимой
8200   56.5998192  114.0345178  1750  пер. Скалистый, 1Б
8201   56.6191451  114.0784973  1870  пер. БАМ, 1А
8202   56.6296907  114.0994185  1860  пер. Огненной Воды, 2А*! зимой
13625   56.6569781  114.1093550  2056  пер. Осенний, 1Б
