# id   lat         lon           alt   title /other title/, cat
 470   42.0643830   78.1680140  4415  пер. Ашутор В., 2А
 471   42.2958442   78.8472724  4250  пер. БАМ, 2Б
 472   42.2040833   78.5728333  4400  пер. Бригантина, 2Б
 473   42.2434005   78.6782627  4200  пер. Героев Чернобыля, 2А
 475   42.2431938   78.7150646  4300  пер. 20 лет ПКТ /20 лет Петроградского Клуба Туристов/, 3А
 476   42.1875500   78.5229667  4767  пер. Джигит, 3А*
 478   42.0253604   78.1132135  3980  пер. Джуукучак /Джукучак/, 1А
 479   42.0751980   78.2091226  4500  пер. Доброй воли /Игр Доброй Воли/, 2Б
 484   42.1296343   78.2869727  4500  пер. Карабаткак В., 3Б
 485   42.2288889   78.6050833  4300  пер. Каракольский В. /Новокаракольский/, 2Б
 486   42.2236280   78.6011822  4300  пер. Каракольская Перемычка, 2Б
 487   42.2112520   78.5864270  4220  пер. Каракол /Каракольский Западный/, 2А
 488   42.3720694   79.0105333  3859  пер. Каракыр, н/к
 489   42.1427058   78.3408747  4340  пер. Катюша, 3А*
 491   42.0752840   78.2222643  4250  пер. Колпаковского, 2А
 492   42.0666300   78.1857500  4100  пер. Котор, 1Б
 493   42.2563205   78.7461321  4320  пер. Ледовый, 3А
 494   42.1729060   78.5014306  4600  пер. Металлург, 3А*
 495   42.1356779   78.3106663  4650  пер. Михальчевского Игоря, 3А*
 496   42.2966537   78.8369058  4210  пер. Моло Восточный /Взлетный/, 2Б*
 499   42.2283345   78.6259697  4400  пер. Одесских политехников, 2Б
 501   42.1382500   78.3207500  4600  пер. 50 лет Советской Киргизии, 3Б
 502   42.1511872   78.3899146  4650  пер. Серебряное седло, 3А
 503   42.1776558   78.5096426  4700  пер. Слоненок, 3А*
 504   42.2620833   78.7721333  4300  пер. Советская Россия, 3А
 505   42.2947833   78.8519667  4100  пер. Тургень Ю., 2А, зим.2Б
 506   42.1666561   78.4323459  4950  пер. Терскей, 3Б
 508   42.1326111   78.3006889  4400  пер. Ульяновцев, 3А*
