# id   lat         lon           alt   title /other title/, cat
8388   42.0499845   78.7702825  5050  вер. пик Амундсена
8389   42.3174522   78.5115772  4090  вер. 30 лет ВЛКСМ, 1А
8390   42.2114627   78.2607929  4144  вер. пик Дружбы Народов, 2А
8393   42.2169500   78.5145700  4055  пер. Сланцевый
8487   41.8305141   78.3076852     0  пер. Экспедиционный Вост. /4650/, 1Б
8561   41.8609201   78.4290767  4300  пер. Разведочный, 1А
8562   41.9526133   78.4029960  4700  пер. Чомой Главный, 2А
8563   41.9486111   78.3725000  4800  пер. Обзорная Седловина, 2А-2Б
8564   41.7962654   78.2712825  4620  пер. 8564, 2А
9267   41.7938000   79.0565000  4525  пер. Юшут, 2Б
9268   41.7420000   79.1301000  4450  пер. Казанский, 2А
9269   41.7509000   79.1390000  4630  пер. т/к Траверс, 2А
9270   41.9191000   79.2189000  4473  пер. Талдыбулак, 2А
9271   41.8963000   79.1433000  3775  пер. Кумар, 1Б
9456   42.0363850   78.1295920  4829  вер. Джукучак
9457   42.0625389   78.1790528  4443  пер. Орлиный, 2А
9458   42.0484333   78.1603222  4420  пер. Кызыл Северный, 2А
9470   41.6779667   78.8158500  4158  пер. Джангарт, нк
9477   41.6951667   79.0492500  4554  пер. Воротникова, 2А
9478   41.7470333   78.8453000  4488  пер. Ачикташсай, 1Б
9479   41.7516667   78.8183167  4535  пер. Лукоянова, 2А
9482   41.7313528   78.8575000  4250  пер. Тузмасай западный, 1Б
9485   41.7888917   78.8009000  3570  пер. Кызылмойнок, 1А
9929   42.2071667   78.4406472  4260  пер. Любви, 3А
10267   42.2195139   78.5095972  4170  вер. Пик Тамма
10268   42.2030222   78.5146583  4300  вер. пик Делоне
10269   42.2062667   78.5201556  4120  вер. 4120м
10303   42.0422750   78.7970750  4600  пер. Чаганак, 1Б*
10304   42.0282889   78.6975944  5020  пер. Сторожевой, 3А
10305   42.1016222   78.8687472  4340  пер. Утренней Свежести, 1Б
10306   42.0899333   78.8420000  4620  пер. Скалозуб, 2А
10333   41.7464667   78.8229722  4680  пер. Ледопадный, 2Б
10334   41.7505306   78.8549694  4630  пер. Двойной, 2А
10335   41.6831889   79.0271694  5050  пер. Чулактор Высокий, 3А
10550   41.8269630   78.4986330     0  пер. Ишигарт, 1А
10742   41.8290248   78.2185614     0  пер. СНК Киргизии
10746   41.8179040   78.2989374     0  вер. НХТЭ
10747   41.7193937   78.6670452     0  пер. Сарыбель
10751   41.8231524   78.7916553     0  пер. Ташлысу
10779   42.3941250   79.1591917     0  пер. Каракия
10780   42.4343250   79.0578750     0  пер. Чакыркорум
10781   42.4601639   78.9915278     0  пер. Булакашу
10782   42.5348722   79.0837028     0  пер. Джергалан
10783   42.4627620   79.1936650     0  пер. Ашутор /Джаналач/
10784   42.5408930   79.1922170     0  пер. Арчатор
10785   42.6148861   79.2758889     0  пер. Зындан
10786   42.4703140   79.3354950     0  пер. Джаналач
10787   42.4062750   79.2858000     0  пер. Эчкилиташ
10788   42.4152333   79.3674444     0  пер. Караашу
10789   42.4198167   79.4545972     0  пер. Актог
10790   42.5724917   79.3816833     0  пер. Кызылмойнак
10791   42.5224000   79.4290972     0  пер. Коянды
10792   42.5084833   79.4526139     0  пер. Оролмо
10797   42.1333690   79.1941420     0  пер. Тез
10798   41.9894580   79.0510270     0  пер. Бельэтэк
10799   42.2137600   79.1619980     0  пер. Бешмойнак
10800   42.1966090   79.1335140     0  пер. Мукачи
10809   41.6858452   79.0210148  5290  вер. Александра /Alexandra/
10810   41.7140029   79.0395976  4885  вер. Kathryn
10811   41.7110786   79.0740883  5190  вер. Pernille
10817   41.6942600   78.9293000  4783  вер. Emma
11060   42.1495000   78.4031944  5149  вер. Вано /памяти В. Неудахина/
12138   42.2467830   78.4554510  3789  пер. Камнеежка, 1Б
12139   42.2200194   78.2602278  3890  пер. Межозерный, 1А*
12140   41.9914333   78.7203167  4660  пер. Вопрос, 2Б
12143   42.4058333   78.6345333  3649  пер. Аксу-Арашан Южный, 1А
12146   42.2069417   78.4422500  4500  пер. Карбышева, 3А*
12149   42.3980500   78.8362833  3900  пер. Зимний сюрприз, зим.2А
12150   42.3600167   78.8371667  4290  пер. Таштамбектор южный, 2А*, зим.2Б
12191   42.2921410   78.5578360  4000  пер. Удобный, 1Б
12192   42.3558920   78.8343820  4203  пер. Комкора Думенко, 2А
12341   42.2142889   78.6168444  4454  пер. Караколтор южный, 2Б
12431   42.0472740   78.1274380     0  пер. Клоунов, 2Б
12565   42.2414111   78.4538056  3830  пер. Озерный восточный, 1Б
12566   42.2244278   78.2550694  3800  пер. Шаркыратма, 1А
12567   42.2920000   78.5591944  4080  пер. Щелкунчик , 2А
12569   41.7559861   78.3044250  4983  вер. Турклуба МГУ (траверс), 2А
12570   41.7906167   78.2764778  4630  пер. Москва /8565/, 1Б
12571   41.8325306   78.3153444  4916  вер. Скалолазка (траверс), 2А
12600   42.1993722   78.6912028  4915  вер. пик Сибирских Университетов
12601   42.2020028   78.6888222  4760  пер. Перья Феникса, 2Б
12602   42.2016972   78.7003611  4620  пер. Сильновзаимодействующий, 2А
12603   42.2005833   78.7123833  4350  пер. Слабовзаимодействующий, 2А
12604   42.2459833   78.7441500  4630  пер. Гипергеометрический, 2Б
12605   42.2434333   78.7537750  4937  вер. пик Советская Россия
12606   42.2555167   78.7297333  4260  пер. Кульдурак, 2Б
12607   42.2542167   78.7403333  4550  пер. Канатоходцев, 2Б
12608   42.2917167   78.8881167  4400  пер. Зиккурат, 2А
12609   42.2899333   78.9157333  4170  пер. Готический, 2А
12610   42.3014167   78.9143833  4260  пер. Дихотомия, 2Б
12611   42.3395944   78.9920444  3970  пер. Оттук, 1Б
12612   42.3418667   78.9737444  4300  вер. пик Оттук
12613   42.0054944   78.0887639  4345  вер. Марс
12643   42.1428222   78.5458028  4540  пер. ГС МФТИ, 2А
12644   42.0942972   78.5409611  4435  пер. 70 лет Победы, 1Б*
12645   42.1163940   78.5746230  4400  пер. Большой Фонтан, 2А
12646   42.0992110   78.5838390  4200  пер. Малый Фонтан, 1А
12649   41.8765900   78.3887500  4580  пер. Джаман-Су Вост., 2А
12700   42.3117400   78.5958420     0  пер. Ветрунге, 1Б
12701   42.3096920   78.5851820     0  пер. Вайва, 1Б
12702   42.3084990   78.5727280     0  пер. Слинчитор /РПИ/, 1А
12703   42.4459850   78.5605980     0  пер. Орток, н/к
12704   42.2826797   78.7816567     0  пер. ЛГУ ложный, 1Б
12721   42.0690583   78.2174500  4200  пер. Скалистый /Скальный/, 2А
12725   42.1294167   78.4109639  4300  пер. СХК /Сибирского Химического Комбината/, 2А
12726   42.1458333   78.4421722     0  пер. Пыльный, 1Б
12754   42.0835370   78.1326540     0  пер. Киче-Борду ложный, 2А
12850   42.0786083   79.4599167     0  пер. Спокойный, 2А
12865   42.0229722   78.1209639  4200  пер. Энтузиастов, 1Б
12932   42.0314444   78.0959944  4585  вер. 4585, 1Б
12941   42.4280917   78.8616389  3690  пер. Скромный, 1А
12942   42.4131667   78.8675778  3700  пер. Арчалыторский, 1А
12943   42.3674361   78.9875083  4000  пер. Акклиматизационный, 1Б
12944   42.3590917   78.9859639  4050  пер. Боковой, 1А
12945   42.4062500   78.8055222  3800  пер. Староватова, 1А-1Б
12946   42.3944556   78.8294667  3800  пер. Таштамбек Ц., 1А-1Б
12947   42.3700306   78.7960000  3850  пер. Окно, 1Б
12956   42.3139556   78.1814750     0  пер. Конгульчу, н/к
12957   42.2524417   78.9982722     0  пер. Торпу
12958   42.1724528   79.0087250  3700  пер. Арпатектыр, 1А
12964   42.1994528   78.6918111  4915  вер. пик Сибирских университетов, траверс, 2Б*
